Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1787424130,2026-08-22T18:42:10Z,WUK933J,"37.019154,-7.967715",0,0,8
1787424158,2026-08-22T18:42:38Z,WUK933J,"37.01899,-7.967745",0,2,8
1787424177,2026-08-22T18:42:57Z,WUK933J,"37.018787,-7.967791",0,2,11
1787424196,2026-08-22T18:43:16Z,WUK933J,"37.018581,-7.967805",0,2,19
1787424216,2026-08-22T18:43:36Z,WUK933J,"37.018375,-7.967834",0,2,64
1787424238,2026-08-22T18:43:58Z,WUK933J,"37.01825,-7.968039",0,2,98
1787424398,2026-08-22T18:46:38Z,WUK933J,"37.018223,-7.96782",0,5,101
1787424405,2026-08-22T18:46:45Z,WUK933J,"37.018188,-7.967566",0,7,101
1787424413,2026-08-22T18:46:53Z,WUK933J,"37.018143,-7.967267",0,8,101
1787424419,2026-08-22T18:46:59Z,WUK933J,"37.018097,-7.966954",0,9,98
1787424426,2026-08-22T18:47:06Z,WUK933J,"37.018055,-7.966622",0,10,98
1787424429,2026-08-22T18:47:09Z,WUK933J,"37.018024,-7.966386",0,10,101
1787424434,2026-08-22T18:47:14Z,WUK933J,"37.017979,-7.966148",0,11,101
1787424438,2026-08-22T18:47:18Z,WUK933J,"37.017944,-7.965849",0,11,98
1787424442,2026-08-22T18:47:22Z,WUK933J,"37.01791,-7.965625",0,10,101
1787424446,2026-08-22T18:47:26Z,WUK933J,"37.017849,-7.965409",0,10,106
1787424452,2026-08-22T18:47:32Z,WUK933J,"37.01762,-7.965219",0,11,146
1787424457,2026-08-22T18:47:37Z,WUK933J,"37.017357,-7.965263",0,11,182
1787424461,2026-08-22T18:47:41Z,WUK933J,"37.017128,-7.965327",0,12,188
1787424466,2026-08-22T18:47:46Z,WUK933J,"37.01685,-7.965372",0,13,188
1787424471,2026-08-22T18:47:51Z,WUK933J,"37.016602,-7.965438",0,12,191
1787424475,2026-08-22T18:47:55Z,WUK933J,"37.016373,-7.965416",0,12,177
1787424483,2026-08-22T18:48:03Z,WUK933J,"37.01614,-7.965028",0,12,118
1787424486,2026-08-22T18:48:06Z,WUK933J,"37.016109,-7.964781",0,12,104
1787424490,2026-08-22T18:48:10Z,WUK933J,"37.016083,-7.96455",0,12,101
1787424493,2026-08-22T18:48:13Z,WUK933J,"37.016041,-7.964299",0,13,101
1787424497,2026-08-22T18:48:17Z,WUK933J,"37.015999,-7.963998",0,14,101
1787424500,2026-08-22T18:48:20Z,WUK933J,"37.015972,-7.963788",0,14,101
1787424503,2026-08-22T18:48:23Z,WUK933J,"37.015938,-7.96351",0,15,98
1787424506,2026-08-22T18:48:26Z,WUK933J,"37.015896,-7.963252",0,15,101
1787424509,2026-08-22T18:48:29Z,WUK933J,"37.015862,-7.962968",0,16,98
1787424511,2026-08-22T18:48:31Z,WUK933J,"37.015835,-7.962765",0,16,98
1787424513,2026-08-22T18:48:33Z,WUK933J,"37.0158,-7.962531",0,17,101
1787424516,2026-08-22T18:48:36Z,WUK933J,"37.015766,-7.962296",0,17,101
1787424518,2026-08-22T18:48:38Z,WUK933J,"37.01572,-7.962035",0,18,101
1787424521,2026-08-22T18:48:41Z,WUK933J,"37.015686,-7.961771",0,18,98
1787424523,2026-08-22T18:48:43Z,WUK933J,"37.015652,-7.961491",0,19,101
1787424526,2026-08-22T18:48:46Z,WUK933J,"37.015606,-7.961222",0,19,98
1787424529,2026-08-22T18:48:49Z,WUK933J,"37.015556,-7.960893",0,20,98
1787424531,2026-08-22T18:48:51Z,WUK933J,"37.015522,-7.960625",0,20,101
1787424534,2026-08-22T18:48:54Z,WUK933J,"37.015488,-7.960326",0,19,101
1787424536,2026-08-22T18:48:56Z,WUK933J,"37.015446,-7.960077",0,17,101
1787424538,2026-08-22T18:48:58Z,WUK933J,"37.015423,-7.959872",0,15,101
1787424541,2026-08-22T18:49:01Z,WUK933J,"37.015377,-7.959624",0,13,101
1787424544,2026-08-22T18:49:04Z,WUK933J,"37.015354,-7.959419",0,12,98
1787424548,2026-08-22T18:49:08Z,WUK933J,"37.01532,-7.959171",0,12,101
1787424553,2026-08-22T18:49:13Z,WUK933J,"37.015274,-7.958908",0,10,101
1787424556,2026-08-22T18:49:16Z,WUK933J,"37.015205,-7.958704",0,9,109
1787424562,2026-08-22T18:49:22Z,WUK933J,"37.015045,-7.958499",0,9,132
1787424568,2026-08-22T18:49:28Z,WUK933J,"37.014828,-7.958382",0,9,154
1787424572,2026-08-22T18:49:32Z,WUK933J,"37.014626,-7.958401",0,9,177
1787424577,2026-08-22T18:49:37Z,WUK933J,"37.014416,-7.958446",0,9,188
1787424584,2026-08-22T18:49:44Z,WUK933J,"37.014172,-7.958505",0,9,188
1787424590,2026-08-22T18:49:50Z,WUK933J,"37.013935,-7.958558",0,9,191
1787424596,2026-08-22T18:49:56Z,WUK933J,"37.013672,-7.958624",0,9,191
1787424603,2026-08-22T18:50:03Z,WUK933J,"37.013485,-7.958833",0,9,222
1787424607,2026-08-22T18:50:07Z,WUK933J,"37.013462,-7.959072",0,9,253
1787424611,2026-08-22T18:50:11Z,WUK933J,"37.013508,-7.959281",0,10,275
1787424615,2026-08-22T18:50:15Z,WUK933J,"37.013546,-7.959535",0,13,278
1787424617,2026-08-22T18:50:17Z,WUK933J,"37.013569,-7.959741",0,16,278
1787424619,2026-08-22T18:50:19Z,WUK933J,"37.013603,-7.959953",0,24,278
1787424621,2026-08-22T18:50:21Z,WUK933J,"37.013672,-7.960445",0,40,281
1787424622,2026-08-22T18:50:22Z,WUK933J,"37.013718,-7.960774",0,45,281
1787424624,2026-08-22T18:50:24Z,WUK933J,"37.013767,-7.961102",0,50,281
1787424625,2026-08-22T18:50:25Z,WUK933J,"37.013809,-7.961421",0,55,281
1787424627,2026-08-22T18:50:27Z,WUK933J,"37.013935,-7.962254",0,65,278
1787424628,2026-08-22T18:50:28Z,WUK933J,"37.013992,-7.962707",0,70,278
1787424629,2026-08-22T18:50:29Z,WUK933J,"37.014072,-7.963203",0,80,278
1787424630,2026-08-22T18:50:30Z,WUK933J,"37.014118,-7.963598",0,80,278
1787424631,2026-08-22T18:50:31Z,WUK933J,"37.014221,-7.96427",0,89,279
1787424632,2026-08-22T18:50:32Z,WUK933J,"37.01429,-7.964789",0,94,279
1787424633,2026-08-22T18:50:33Z,WUK933J,"37.014359,-7.965263",0,98,279
1787424635,2026-08-22T18:50:35Z,WUK933J,"37.014568,-7.9667",25,106,280
1787424638,2026-08-22T18:50:38Z,WUK933J,"37.014771,-7.968127",25,115,279
